participant_number,group,cq_1_h,cq_2_s_f,tn_products,n_categories,k_p_1,k_p_2,k_p_3,k_p_4,k_p_5,k_p_6,k_p_7,k_p_8,t_t_condition,t_t_A_1,t_t_A_2,t_t_A_3,t_t_A_4,t_t_A_5,t_t_A_w_p,t_t_B_1,t_t_B_2,t_t_B_3,t_t_B_4,t_t_B_5,t_t_B_w_p,t_t_d,m_q_1,m_q_2,s_s_d,s_t_d,gender,age,f_o_s,n_o_t,n_l,m_k,filter,distance_MC,kimchi_glob1,kimchi_glob2,kimchi_glob3,kimchi_glob4,kimchi_glob5,kimchi_glob6,kimchi_glob7,kimchi_glob8,kimchi_sum,toaster_a_evaluation,toaster_b_evaluation,toaster_diff_WTP,toaster45_rating1,toaster25_rating1,toaster45_rating2,toaster45_rating3,toaster45_rating4,toaster45_rating5,toaster25_rating2,toaster25_rating3,toaster25_rating4,toaster25_rating5,toaster45_mean,toaster25_mean,toaster_45_wtp,toaster_25_wtp,choice_toaster,diff_toaster
52,1,3,4,11,7,1,1,1,1,1,1,1,1,3,5,4,4,3,4,30,3,4,4,4,4,20,1,6,5,4,1,2,19,1,2,1,2,1,2.5,1,1,1,1,1,1,1,1,8,4,3.8,10,5,3,4,4,3,4,4,4,4,4,4,3.8,30,20,1,0.2
53,2,2,6,11,6,1,2,1,1,1,2,2,1,1,7,6,6,6,6,20,4,5,4,6,5,15,1,3,5,1,2,2,21,1,2,1,2,1,1.5,1,0,1,1,1,0,0,1,5,6.2,4.8,-5,4,7,5,4,6,5,6,6,6,6,4.8,6.2,15,20,2,-1.4
54,5,1,6,6,6,1,1,1,1,1,1,1,1,4,7,6,6,6,6,24.9,3,3,3,3,3,19.9,1,6,2,5,2,2,22,1,4,1,1,1,3.5,1,1,1,1,1,1,1,1,8,6.2,3,5,7,3,6,6,6,6,3,3,3,3,6.2,3,24.9,19.9,1,3.2
55,5,1,5,13,5,1,1,1,1,1,1,1,1,2,6,4,5,5,5,666,7,5,4,4,5,25,1,6,2,2,5,2,20,1,2,1,1,1,3.5,1,1,1,1,1,1,1,1,8,5,5,,7,6,5,4,4,5,4,5,5,5,5,5,25,,2,0
56,3,4,6,8,7,1,1,1,1,1,1,1,1,2,3,2,3,3,3,20,4,4,5,4,5,30,2,6,1,2,2,2,24,1,6,1,1,1,2,1,1,1,1,1,1,1,1,8,2.8,4.4,10,4,3,4,5,4,5,2,3,3,3,4.4,2.8,30,20,1,1.6
57,1,7,4,10,8,1,1,1,1,1,1,1,1,3,1,1,2,1,1,0,6,6,5,5,6,25,2,7,1,2,2,2,39,1,5,2,3,1,2,1,1,1,1,1,1,1,1,8,1.2,5.6,-25,1,6,1,2,1,1,6,5,5,6,1.2,5.6,0,25,2,-4.4
58,2,1,2,11,7,1,1,1,1,1,1,1,1,1,3,3,4,4,3,35,5,5,5,5,5,42,2,5,4,1,3,1,22,1,6,1,2,1,2,1,1,1,1,1,1,1,1,8,3.4,5,7,5,3,5,5,5,5,3,4,4,3,5,3.4,42,35,1,1.6
59,1,1,3,7,7,1,2,1,1,1,2,1,1,1,7,7,7,7,6,50,2,1,6,6,1,0,1,6,3,3,3,2,22,1,6,1,2,1,3,1,0,1,1,1,0,1,1,6,6.8,3.2,-50,2,7,1,6,6,1,7,7,7,6,3.2,6.8,0,50,2,-3.6
60,2,7,4,15,8,1,1,1,1,1,1,1,1,4,1,1,1,1,1,0,5,5,5,5,5,20,2,5,4,2,2,2,26,1,8,1,1,0,2,1,1,1,1,1,1,1,1,8,1,5,-20,1,5,1,1,1,1,5,5,5,5,1,5,0,20,2,-4
61,4,4,4,16,9,1,1,1,1,1,1,1,1,3,6,6,6,6,6,29.9,2,2,2,2,2,9.9,1,5,2,2,4,1,29,1,6,1,2,1,3,1,1,1,1,1,1,1,1,8,6,2,20,6,2,6,6,6,6,2,2,2,2,6,2,29.9,9.9,1,4
